Year,Agriculture,Mining,Manufacturing,Electricity,sewage,Construction,vehicles,Transport,Accommodation,Information and communication,Real estate activities,technical activities,Administrative activities,Total
1990,677.9,165.3,940.1,"3,035.60",36,84.1,78.2,901.3,7.7,6.4,2.7,11.7,17.5,6853
1991,674.2,158.4,955.4,"2,898.20",46,82.1,77.3,949.3,8,6.4,2.7,11.6,17.5,6779
1992,648.6,153,995.7,"2,746.70",46.9,81.3,75.3,900.2,7.8,6.3,2.7,11.4,17.3,6564
1993,635.3,170.2,959.6,"2,395.90",41.9,81.1,73.1,870.2,8.1,6.2,2.6,11.2,17.2,6118
1994,642.1,175.5,872.5,"2,216.70",37.4,82.9,72.4,858.4,7.6,6.1,2.6,11,17.1,5792
1995,625.2,153.5,800.9,"2,026.00",34.1,81.3,69.1,871.6,7.4,5.9,2.5,10.6,16.4,5415
1996,635.8,168.2,699.4,"1,692.70",33,80.1,64.3,961.2,7.3,5.3,2.3,9.5,15.4,5090
1997,642,167.8,654.6,"1,290.60",24.3,79,60.2,942.5,6.3,4.7,2,8.3,14.2,4566
1998,632.7,161,606.4,"1,364.20",34,79.2,58.6,927.4,6.2,4.4,2,7.8,13.7,4504
1999,619.1,152.5,536.1,"1,015.80",24.8,77.4,55.6,829.3,6.1,4.2,1.9,7.4,12.9,3903
2000,586.5,139.1,480.8,"1,055.10",24.3,75.7,53.4,800.3,6.2,3.9,1.8,6.9,12.3,3755
2001,571.2,136.6,473.2,"1,014.10",27,74.7,50.3,927.7,6.3,3.5,1.7,6.2,11.6,3791
2002,564.9,143.4,415.5,938.4,22.4,72.5,47.1,979.6,5.1,3,1.4,5.3,10.6,3650
2003,553.9,131.4,403.8,954.7,20.6,70.9,45.6,"1,018.00",5,2.8,1.4,4.9,10.2,3631
2004,551.1,128.3,414.6,767.2,22,72.6,44.5,"1,120.50",4.9,2.6,1.3,4.6,9.8,3535
2005,536.2,125.6,424.5,663.2,24,70.7,42.5,"1,098.00",4.8,2.5,1.3,4.4,10,3373
2006,522.7,111.7,402.7,647.8,22.4,69.5,41.8,799.2,4.4,2.3,1.3,4.1,9.9,2987
2007,512.2,107.5,393.7,551.7,21.2,68.6,42.1,727,4.3,2.2,1.2,4,9.7,2774
2008,479.5,106.3,351.1,424.1,17.9,63.7,40.1,697.2,4.9,2.2,1.4,4.2,9.4,2526
2009,484.3,99.8,308.5,346.7,16.5,52.6,38.8,573.9,3.9,1.8,1.1,3.1,7.9,2206
2010,489.7,96.3,316.8,351.2,17.1,51.9,37.4,565.8,4.1,1.8,1.2,3.2,7.8,2206
2011,482.1,84,308.2,337.1,16.3,44.8,34.9,565.8,3.7,1.7,1.1,2.9,7.7,2136
2012,481.2,77.7,282.2,430.3,16.2,46.9,33.5,475.9,4,1.6,1.2,3,7.9,2110
2013,476,70.8,271.9,369.3,16,39.9,30.9,385.9,3.9,1.5,1.2,2.7,7.8,1922
2014,504.6,71.7,247.5,279.1,16.1,40.2,29.8,437.3,3.6,1.5,1.2,2.6,8,1879
2015,511.9,83.4,220.3,225,16.9,43.8,28.7,469.8,3.8,1.5,1.2,2.6,8.4,1852
2016,518.4,83.6,199,121.8,17.8,41.7,27.1,466.8,3.8,1.5,1.3,2.6,8.6,1726
2017,519.4,83.2,202.1,101.3,18.3,43.3,25.2,299.4,3.8,1.4,1.2,2.5,8.5,1543
2018,515.4,79.7,195.2,84,18.2,42.6,23.7,395.6,3.8,1.3,1.2,2.4,8.3,1608
2019,508.9,80.1,184.8,68,17.9,40.5,22.7,282.4,3.8,1.3,1.2,2.3,8.2,1461
2020,482.8,58.9,168.9,62.7,17.5,37.9,20.6,215.6,3.6,1.1,1.1,2.1,7.5,1292
